BJ_5G,Santi-2G,BJ_2G,ARI_2G,VIVOFIBRA-1EB0,Santi-5G,Unnamed: 6,class,Lais,#NET-CLARO-WIFI,CLARO_2G46D856,ANA 2.4G,Rubens_2.4,INA ,plenna_inteligenti,Unnamed: 15,Familia,Unnamed: 17,VIVOFIBRA-FF20,InÃ¡ Corp,Cozinha da InÃ¡,((TURIS)),Maria_2G,BUCKER,AMNET85_8295,CLARO_2G92213C,Unnamed: 26,VIVOFIBRA-F7E8,((Internacional)),2G Lucineia,ALEXANDRE1,andre,,CLARO_2G743AC1,INA _EXT
-64,-50.0,-47.0,-91.0,-82.0,-58.0,-100.0,s1,-92.0,-91.0,-88.0,-94.0,-91.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-93.0,-100.0,-94.0,-91.0,-91.0,-92.0,-48.0,-90.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-62,-50.0,-47.0,-91.0,-82.0,-58.0,-100.0,s1,-92.0,-91.0,-88.0,-94.0,-91.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-93.0,-100.0,-100.0,-91.0,-91.0,-92.0,-48.0,-90.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-62,-50.0,-48.0,-92.0,-84.0,-55.0,-100.0,s1,-95.0,-92.0,-88.0,-94.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-93.0,-100.0,-100.0,-92.0,-91.0,-92.0,-59.0,-90.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-62,-66.0,-51.0,-88.0,-86.0,-57.0,-100.0,s1,-95.0,-88.0,-87.0,-94.0,-91.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-93.0,-100.0,-100.0,-94.0,-91.0,-94.0,-53.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-62,-54.0,-52.0,-89.0,-86.0,-55.0,-100.0,s1,-90.0,-87.0,-87.0,-93.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.0,-91.0,-94.0,-55.0,-100.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0
-62,-49.0,-45.0,-89.0,-85.0,-55.0,-100.0,s1,-91.0,-87.0,-87.0,-93.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.0,-91.0,-94.0,-52.0,-100.0,-100.0,-93.0,-91.0,-100.0,-100.0,-100.0,-100.0
-63,-64.0,-47.0,-89.0,-95.0,-55.0,-100.0,s1,-91.0,-87.0,-87.0,-93.0,-100.0,-91.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.0,-94.0,-94.0,-94.0,-58.0,-100.0,-100.0,-93.0,-91.0,-94.0,-100.0,-100.0,-100.0
-63,-64.0,-47.0,-89.0,-95.0,-59.0,-100.0,s1,-91.0,-87.0,-87.0,-93.0,-100.0,-91.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.0,-94.0,-94.0,-94.0,-47.0,-100.0,-100.0,-93.0,-91.0,-94.0,-100.0,-100.0,-100.0
-63,-64.0,-47.0,-89.0,-95.0,-59.0,-100.0,s1,-91.0,-87.0,-100.0,-93.0,-100.0,-91.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.0,-94.0,-94.0,-100.0,-47.0,-100.0,-100.0,-93.0,-91.0,-94.0,-100.0,-100.0,-100.0
-63,-52.0,-45.0,-100.0,-90.0,-58.0,-100.0,s1,-87.0,-87.0,-89.0,-93.0,-100.0,-91.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.0,-94.0,-94.0,-100.0,-42.0,-100.0,-100.0,-100.0,-91.0,-94.0,-100.0,-100.0,-100.0
